t_secs,rss_kb,vmhwm_kb,fds,threads,quic_modeb_connections,quic_modeb_streams_active,quic_modeb_datagrams_dropped_total,panic_total
3435.625,17944,17944,11,9,0,4,0,0
3450.629,17944,17944,11,9,0,4,0,0
3465.634,17944,17944,11,9,0,4,0,0
3480.635,17944,17944,11,9,0,4,0,0
3495.637,17944,17944,11,9,0,4,0,0
3510.648,17944,17944,11,9,0,4,0,0
3525.650,17944,17944,11,9,0,4,0,0
3540.652,17944,17944,11,9,0,4,0,0
3555.655,17944,17944,11,9,0,4,0,0
3570.658,17944,17944,11,9,0,4,0,0
3585.659,17944,17944,11,9,0,4,0,0
3600.664,17944,17944,11,9,0,4,0,0
3615.667,17944,17944,11,9,0,4,0,0
3630.671,17944,17944,11,9,0,4,0,0
3645.676,17944,17944,11,9,0,4,0,0
3660.677,17944,17944,11,9,0,4,0,0
3675.678,17944,17944,11,9,0,4,0,0
3690.680,17944,17944,11,9,0,4,0,0
3705.681,17944,17944,11,9,0,4,0,0
3720.683,17944,17944,11,9,0,4,0,0
3735.684,17944,17944,11,9,0,4,0,0
3750.686,17944,17944,11,9,0,4,0,0
3765.689,17944,17944,11,9,0,4,0,0
3780.691,17944,17944,11,9,0,4,0,0
3795.693,17944,17944,11,9,0,4,0,0
3810.695,17944,17944,11,9,0,4,0,0
3825.698,17944,17944,11,9,0,4,0,0
3840.702,17944,17944,11,9,0,4,0,0
3855.704,17944,17944,11,9,0,4,0,0
3870.706,17944,17944,11,9,0,4,0,0
3885.709,17944,17944,11,9,0,4,0,0
3900.711,17944,17944,11,9,0,4,0,0
3915.712,17944,17944,11,9,0,4,0,0
3930.714,17944,17944,11,9,0,4,0,0
3945.715,17944,17944,11,9,0,4,0,0
3960.716,17944,17944,11,9,0,4,0,0
3975.721,17944,17944,11,9,0,4,0,0
3990.729,17944,17944,11,9,0,4,0,0
4005.731,17944,17944,11,9,0,4,0,0
4020.733,17944,17944,11,9,0,4,0,0
4035.736,17944,17944,11,9,0,4,0,0
4050.739,17944,17944,11,9,0,4,0,0
4065.743,17944,17944,11,9,0,4,0,0
4080.745,17944,17944,11,9,0,4,0,0
4095.751,17944,17944,11,9,0,4,0,0
4110.758,17944,17944,11,9,0,4,0,0
4125.760,17944,17944,11,9,0,4,0,0
4140.761,17944,17944,11,9,0,4,0,0
4155.762,17944,17944,11,9,0,4,0,0
