t_secs,rss_kb,vmhwm_kb,fds,threads,quic_modeb_connections,quic_modeb_streams_active,quic_modeb_datagrams_dropped_total,panic_total
8523.863,33716,36708,23,9,12,4,0,0
8553.884,33588,36708,23,9,12,0,0,0
8583.903,33320,36708,24,9,13,0,0,0
8613.923,33320,36708,26,9,12,4,0,0
8643.931,32972,36708,21,9,10,4,0,0
8673.943,33632,36708,19,9,8,0,0,0
8703.956,32872,36708,23,9,10,4,0,0
8733.977,32812,36708,21,9,9,0,0,0
8763.996,32268,36708,22,9,9,0,0,0
8794.010,33232,36708,21,9,9,4,0,0
8824.033,31808,36708,22,9,11,4,0,0
8854.041,31724,36708,21,9,8,0,0,0
8884.052,32156,36708,24,9,11,4,0,0
8914.059,32364,36708,20,9,9,0,0,0
8944.077,32016,36708,22,9,11,4,0,0
8974.086,32848,36708,22,9,10,0,0,0
9004.089,32820,36708,22,9,10,0,0,0
9034.107,32160,36708,20,9,9,0,0,0
9064.123,32764,36708,20,9,9,0,0,0
9094.135,31648,36708,24,9,13,4,0,0
9124.145,31760,36708,23,9,10,0,0,0
9154.163,32240,36708,21,9,9,4,0,0
9184.182,33176,36708,24,9,13,0,0,0
9214.193,31904,36708,23,9,12,0,0,0
9244.207,32380,36708,22,9,11,4,0,0
9274.217,31388,36708,19,9,8,4,0,0
9304.225,32916,36708,23,9,11,4,0,0
9334.235,33060,36708,21,9,8,0,0,0
9364.247,32108,36708,23,9,13,4,0,0
9394.267,32108,36708,20,9,9,0,0,0
9424.290,32268,36708,20,9,8,4,0,0
9454.295,32220,36708,22,9,9,4,0,0
9484.311,31684,36708,23,9,11,0,0,0
9514.324,32424,36708,23,9,10,4,0,0
9544.330,33328,36708,23,9,11,0,0,0
9574.344,33376,36708,22,9,11,4,0,0
9604.349,33740,36708,24,9,13,4,0,0
9634.364,34440,36708,22,9,10,0,0,0
9664.378,31920,36708,24,9,12,4,0,0
9694.387,32232,36708,22,9,11,4,0,0
9724.408,32428,36708,19,9,7,4,0,0
9754.418,32380,36708,26,9,15,4,0,0
9784.428,32228,36708,22,9,8,4,0,0
9814.444,31912,36708,21,9,10,3,0,0
9844.453,32052,36708,27,9,15,0,0,0
9874.468,32488,36708,21,9,9,0,0,0
9904.472,32152,36708,20,9,9,0,0,0
9934.480,31800,36708,23,9,10,0,0,0
9964.487,31972,36708,23,9,11,4,0,0
9994.506,33036,36708,25,9,14,0,0,0
10024.517,32452,36708,20,9,7,4,0,0
10054.525,32368,36708,23,9,12,0,0,0
10084.540,31432,36708,20,9,8,0,0,0
10114.549,32056,36708,26,9,13,0,0,0
10144.558,32168,36708,22,9,10,0,0,0
10174.563,32132,36708,24,9,14,4,0,0
10204.571,33916,36708,22,9,11,0,0,0
10234.581,32336,36708,21,9,10,0,0,0
10264.598,31512,36708,20,9,12,4,0,0
10294.614,31908,36708,22,9,11,4,0,0
10324.629,32548,36708,20,9,8,0,0,0
10354.650,31380,36708,21,9,9,0,0,0
10384.667,31972,36708,23,9,12,0,0,0
10414.680,32320,36708,26,9,14,0,0,0
10444.695,32528,36708,22,9,10,4,0,0
10474.708,32864,36708,22,9,11,0,0,0
10504.720,32992,36708,22,9,11,0,0,0
10534.735,32392,36708,20,9,8,0,0,0
10564.746,32140,36708,21,9,9,0,0,0
10594.769,32152,36708,21,9,10,0,0,0
10624.783,30828,36708,21,9,9,0,0,0
10654.789,31716,36708,18,9,7,0,0,0
10684.799,31336,36708,19,9,9,4,0,0
10714.816,31992,36708,19,9,7,0,0,0
10744.825,32004,36708,25,9,12,0,0,0
10774.854,33176,36708,22,9,11,4,0,0
10804.872,33004,36708,21,9,9,4,0,0
10834.880,32156,36708,19,9,8,0,0,0
10864.892,33540,36708,23,9,12,0,0,0
10894.901,32300,36708,20,9,9,0,0,0
10924.913,32084,36708,24,9,10,4,0,0
10954.923,32096,36708,20,9,8,4,0,0
10984.931,32828,36708,22,9,11,0,0,0
11014.942,32176,36708,22,9,11,4,0,0
11044.954,33628,36708,25,9,11,0,0,0
11074.978,31792,36708,20,9,9,0,0,0
11104.999,31376,36708,19,9,8,4,0,0
11135.030,31708,36708,21,9,10,0,0,0
11165.051,32392,36708,22,9,11,0,0,0
11195.062,31836,36708,20,9,9,0,0,0
11225.075,32220,36708,21,9,10,4,0,0
11255.093,32156,36708,19,9,8,0,0,0
11285.096,32156,36708,21,9,9,4,0,0
11315.104,31792,36708,22,9,8,0,0,0
11345.123,32000,36708,23,9,10,4,0,0
11375.141,32356,36708,21,9,10,0,0,0
11405.150,33624,36708,21,9,10,4,0,0
11435.163,32168,36708,21,9,9,4,0,0
11465.199,32368,36708,23,9,12,0,0,0
11495.212,32608,36708,20,9,7,0,0,0
11525.237,33640,36708,25,9,12,4,0,0
11555.252,32896,36708,21,9,8,0,0,0
11585.264,33624,36708,22,9,11,0,0,0
11615.283,32940,36708,25,9,12,0,0,0
11645.302,32464,36708,25,9,11,4,0,0
11675.317,32336,36708,23,9,10,0,0,0
11705.336,32448,36708,24,9,13,4,0,0
11735.341,31600,36708,18,9,7,0,0,0
11765.355,32456,36708,24,9,11,4,0,0
11795.369,31772,36708,21,9,10,0,0,0
11825.374,31132,36708,19,9,8,4,0,0
11855.393,31036,36708,21,9,10,0,0,0
11885.405,31584,36708,20,9,9,0,0,0
11915.409,31748,36708,22,9,10,0,0,0
11945.417,32000,36708,22,9,11,4,0,0
11975.427,33240,36708,24,9,12,4,0,0
12005.436,31932,36708,23,9,9,4,0,0
12035.455,32488,36708,25,9,13,4,0,0
12065.461,32104,36708,21,9,10,4,0,0
12095.468,32320,36708,22,9,11,4,0,0
12125.481,32908,36708,22,9,10,0,0,0
12155.498,31172,36708,22,9,11,0,0,0
12185.510,31308,36708,22,9,9,0,0,0
12215.526,31452,36708,23,9,10,4,0,0
12245.535,31520,36708,24,9,12,4,0,0
12275.545,31376,36708,25,9,12,0,0,0
12305.563,32112,36708,23,9,10,0,0,0
12335.573,32076,36708,23,9,12,4,0,0
12365.590,31924,36708,26,9,14,0,0,0
12395.609,33968,36708,19,9,8,0,0,0
12425.626,31424,36708,20,9,9,4,0,0
12455.639,31852,36708,24,9,13,0,0,0
12485.650,31280,36708,21,9,10,0,0,0
12515.667,32464,36708,21,9,9,0,0,0
12545.688,32540,36708,22,9,9,0,0,0
12575.703,31204,36708,22,9,9,0,0,0
12605.716,32680,36708,23,9,10,4,0,0
12635.732,32412,36708,23,9,11,0,0,0
12665.758,32468,36708,21,9,9,4,0,0
12695.765,32308,36708,23,9,12,0,0,0
12725.781,32476,36708,20,9,9,0,0,0
12755.801,31916,36708,23,9,11,0,0,0
12785.815,32792,36708,22,9,10,0,0,0
12815.825,31900,36708,22,9,10,4,0,0
12845.841,33040,36708,21,9,10,0,0,0
12875.863,33080,36708,22,9,11,4,0,0
12905.873,32536,36708,25,9,13,0,0,0
12935.884,32744,36708,24,9,10,1,0,0
12965.892,32344,36708,21,9,9,4,0,0
12995.903,31804,36708,19,9,6,0,0,0
13025.910,32536,36708,19,9,8,4,0,0
13055.920,32824,36708,19,9,8,4,0,0
13085.931,33652,36708,19,9,8,0,0,0
13115.944,33076,36708,22,9,10,4,0,0
13145.955,32292,36708,22,9,11,4,0,0
13175.966,33324,36708,24,9,12,0,0,0
13205.970,33488,36708,22,9,9,4,0,0
13235.993,32940,36708,20,9,9,0,0,0
13266.000,33304,36708,21,9,10,4,0,0
13296.010,33460,36708,22,9,10,0,0,0
13326.021,34720,36708,22,9,10,4,0,0
13356.034,33232,36708,22,9,11,4,0,0
13386.047,32988,36708,19,9,8,0,0,0
13416.053,33416,36708,22,9,11,4,0,0
13446.068,33192,36708,22,9,8,4,0,0
13476.089,33240,36708,22,9,10,4,0,0
13506.099,32312,36708,22,9,10,0,0,0
13536.122,32484,36708,25,9,13,4,0,0
13566.132,32908,36708,21,9,9,0,0,0
13596.147,32504,36708,24,9,13,4,0,0
13626.153,33044,36708,21,9,10,4,0,0
13656.164,31932,36708,21,9,10,0,0,0
13686.176,31996,36708,21,9,10,0,0,0
13716.190,32868,36708,22,9,11,0,0,0
13746.197,33104,36708,24,9,12,0,0,0
13776.207,32736,36708,19,9,9,4,0,0
13806.218,32628,36708,21,9,8,4,0,0
13836.229,32664,36708,20,9,8,4,0,0
13866.244,33148,36708,21,9,8,0,0,0
13896.258,33656,36708,21,9,9,4,0,0
13926.268,33432,36708,19,9,6,0,0,0
13956.278,32556,36708,23,9,11,4,0,0
13986.287,32572,36708,22,9,9,4,0,0
