[eg-soak] scenario=sc4_modeb duration=7200s sample=15s scale=1 bin=/home/ubuntu/Code/eg-target/release/expressgateway
[eg-soak] gateway ready pid=363564 metrics=127.0.0.1:38357 — soaking 7200s
[sc4_modeb] t=  1817s rss=   33.3MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1832s rss=   33.4MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1847s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1862s rss=   33.9MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1877s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1892s rss=   33.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1907s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1922s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1937s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1952s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1967s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1982s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1997s rss=   33.8MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  2012s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  2027s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  2042s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  2057s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  2072s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  2087s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  2102s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  2117s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
